X,Y,OBJECTID,SITENUMBER,TERRITORY,NEST,NESTYEAR,last_edited_date
-85.3472499325705,29.8709194758791,53,GULtj02,408,A,2004,
-85.354549972251,29.8834354796193,54,GULtj02,407,A,2004,
-85.3412499123113,29.8557024766244,55,GULtj02,405,A,2004,
-85.3418169091557,29.8565854728727,56,GULtj02,405,B,2004,
-85.353649959151,29.8823694699185,57,GULtj02,407,B,2004,
-85.3431999140447,29.8606524689321,58,GULtj02,412,A,2004,
-85.3515669591449,29.8790024806031,59,GULtj02,411,A,2004,
-85.3487169577863,29.8735524823409,60,GULtj02,404,A,2004,
-85.3487169407183,29.8732694710981,61,GULtj02,404,B,2004,
-82.8203174376817,28.0575531549075,62,Caladesi,2,A,2006,
-82.5859170374098,27.3182877836739,63,NorthLido,1,A,2006,
-82.2035161317225,26.5681548875207,64,Ncaptiva,1,A,2006,
-82.2044321186649,26.5703878808842,65,Ncaptiva,2,A,2006,
-82.2360660784945,26.6388377669945,66,CayoCosta,3,A,2006,
-82.2597990841089,26.6747216902152,67,CayoCosta,1,A,2006,
-82.2592990917033,26.6742716868706,68,CayoCosta,4,A,2006,
-82.2610490889285,26.6760046779659,69,CayoCosta,1,B,2006,
-82.8392506908342,28.157186337843,70,4,1,A,2006,
-82.2802992227975,26.8011376478853,71,GaspNorth,2,A,2006,
-82.0290492934213,26.4430550538016,72,SanibelE,3,A,2006,
-82.5877500299842,27.3225877582147,73,NorthLido,2,2,2006,
-82.3374995410403,26.886404771915,74,DonPedro,2,A,2006,
-82.8180334099864,28.048870143582,75,Caladesi,1,B,2006,
-82.5680330919676,27.2985718915216,76,SouthLido,1,A,2006,
-82.8343335123949,28.096003201853,77,Honeymoon,1,A,2006,
-82.8408008802823,28.2327865063701,78,NAncloteB,1,A,2006,
-82.3360325355874,26.8856047679475,79,DonPedro,1,A,2006,
-82.023399280153,26.4463380673562,80,SanibelE,2,A,2006,
-82.2343660868878,26.6372877706733,81,CayoCosta,2,A,2006,
-82.3356165401524,26.887221771811,82,DonPedro,3,A,2006,
-82.741349747142,27.5301370875472,83,AnnaMaria,1,A,2006,
-82.0616993125159,26.4262880216854,84,SanibelE,5,A,2006,
-82.0315493003655,26.4416880526605,85,SanibelE,1,A,2006,
-82.0276992872461,26.4437880505482,86,SanibelE,6,A,2006,
-82.0314162904146,26.4417550510068,87,SanibelE,7,A,2006,
-82.3354665475511,26.8868217602072,88,DonPedro,3,B,2006,
-82.3355495429002,26.8855877661121,89,DonPedro,1,B,2006,
-82.2357160759951,26.6380047664588,90,CayoCosta,2,B,2006,
-82.8265503219237,28.0215030469171,91,Caladesi,3,A,2006,
-82.8271333087802,28.0174030426426,92,Nclearwat,1,A,2006,
-82.0634663094596,26.4255050222231,93,SanibelE,5,B,2006,
-82.0260162926629,26.444788063205,94,SanibelE,4,B,2006,
-82.027666290329,26.4437220515535,95,SanibelE,3,B,2006,
-82.0566162978887,26.4284550311727,96,SanibelE,8,A,2006,
-82.0549663020192,26.4292880371383,97,SanibelE,8,B,2006,
-82.0616663066157,26.4263050309373,98,SanibelE,5,C,2006,
-82.0311663000508,26.4418380516533,99,SanibelE,7,B,2006,
-82.0234992967802,26.4462550659303,100,SanibelE,2,B,2006,
-82.8249004302589,28.0573201402439,101,Honeymoon,1,A,2006,
-82.6712998156841,27.4221373680819,102,LongboatN,1,A,2006,
-85.3416329162192,29.8562694650906,103,GULtj02,410,A,2004,
-85.3470829366575,29.870619473151,104,GULtj02,408,B,2004,
-82.284299256366,26.8087376574603,105,GaspNorth,1,A,2006,
-82.0251162930377,26.4452550587698,106,SanibelE,4,A,2006,
-82.6826168203795,27.4301543407124,107,LongboatN,1,B,2006,
-82.5877670234144,27.3226047712248,108,NorthLido,2,B,2006,
-82.3379325487702,26.887787767932,109,DonPedro,2,B,2006,
-81.7508994458129,25.950788589278,110,COLL00400,1,A,2006,
-81.7141664238519,25.8978057279763,111,COLL00401,1,A,2006,
-85.6196179813635,30.0663523757772,112,Bay01,1,A,2006,
-85.6192009798154,30.065935379255,113,Bay01,1,B,2006,
-85.6947682137297,30.0969852691825,114,Bay01,2,A,2006,
-85.6986182304424,30.0993692553163,115,Bay01,3,A,2006,
-85.6713181414971,30.0868023170759,116,Bay01,4,A,2006,
-85.6195679694567,30.0659853721593,117,Bay01,5,A,2006,
-85.6195679694567,30.0659853721593,118,Bay01,5,A,2006,
-85.7060682348764,30.1036692539262,119,Bay01,6,A,2006,
-85.7168842563244,30.1105692289862,120,Bay01,7,A,2006,
-85.7070842402425,30.104502240081,121,Bay01,11,A,2006,
-85.6003508971834,30.0554523659223,122,Bay02,1,A,2006,
-85.5973678750942,30.0534693716402,123,Bay02,2,A,2006,
-85.5865008383212,30.0447693551776,124,Bay02,6,A,2006,
-85.5865008383212,30.0447693551776,125,Bay02,6,A,2006,
-85.585650822755,30.04368534709,126,Bay02,6,B,2006,
-85.5853008220523,30.0437523360206,127,Bay02,8,A,2006,
-85.5712007243173,30.0287023004877,128,Bay02,9,A,2006,
-85.5727337361806,30.030402306942,129,Bay02,11,A,2006,
-85.5822338056874,30.0392853226158,130,Bay02,12,A,2006,
-85.5777177744298,30.0350853235532,131,Bay02,13,A,2006,
-85.6102009485283,30.0595023574483,132,Bay02,14,A,2006,
-85.6083679254113,30.0582693725097,133,Bay02,15,A,2006,
-85.5700837204654,30.0276022879118,134,Bay02,17,A,2006,
-85.5897678493128,30.0476523564827,135,Bay02,18,A,2006,
-85.4473671997317,29.9549523448612,136,Bay03,1,A,2006,
-85.4619502003224,29.9579353018194,137,Bay03,2,A,2006,
-85.4619502003224,29.9579353018194,138,Bay03,2,B,2006,
-85.4618332028415,29.9579693109004,139,Bay03,2,C,2006,
-85.462617211099,29.9578852972339,140,Bay03,4,A,2006,
-85.4629672189882,29.9579523013025,141,Bay03,4,B,2006,
-85.4789832246966,29.9579192643042,142,Bay03,5,A,2006,
-85.4850502278349,29.9595352523776,143,Bay03,6,A,2006,
-85.524417426416,29.9883851929043,144,Bay03,8,A,2006,
-85.4464831838303,29.9546523305397,145,Bay03,9,A,2006,
-85.5228334046176,29.987035198578,146,Bay03,12,A,2006,
-85.5232174218252,29.9873692067399,147,Bay03,12,B,2006,
