X,Y,OBJECTID,RARNUM,BIOGWIS_RA,SPECIES_ID,SEASON_ID,EL_RAR,EL_SPE,EL_SPE_SEA,GEO_SRC,SEASON_SRC,CONCENTRA,ELEMENT,SUBELEMENT,NAME,SCINAME,STATUS,PRESENCE,ACTIVE_JAN,ACTIVE_FEB,ACTIVE_MAR,ACTIVE_APR,ACTIVE_MAY,ACTIVE_JUN,ACTIVE_JUL,ACTIVE_AUG,ACTIVE_SEP,ACTIVE_OCT,ACTIVE_NOV,ACTIVE_DEC,ESI_INFO,created_user,created_date,last_edited_user,last_edited_date
-80.88444616,25.06043703,4166,470,470,76,2,BIRD_470,B00076,B0007602,33,37,1,BIRD,raptor,Bald eagle,Haliaeetus leucocephalus,Threatened (FED FL),Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting, , , , ,Nesting,Nesting,Bald eagle; Status: Threatened (FED FL); Present: Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec; Concentration: 1,,,,
-80.87884762,25.11324259,4167,470,470,76,2,BIRD_470,B00076,B0007602,33,37,1,BIRD,raptor,Bald eagle,Haliaeetus leucocephalus,Threatened (FED FL),Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting, , , , ,Nesting,Nesting,Bald eagle; Status: Threatened (FED FL); Present: Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec; Concentration: 1,,,,
-80.86389092,25.03015673,4168,470,470,76,2,BIRD_470,B00076,B0007602,33,37,1,BIRD,raptor,Bald eagle,Haliaeetus leucocephalus,Threatened (FED FL),Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting, , , , ,Nesting,Nesting,Bald eagle; Status: Threatened (FED FL); Present: Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec; Concentration: 1,,,,
-80.85656324,25.06634093,4169,470,470,76,2,BIRD_470,B00076,B0007602,33,37,1,BIRD,raptor,Bald eagle,Haliaeetus leucocephalus,Threatened (FED FL),Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting, , , , ,Nesting,Nesting,Bald eagle; Status: Threatened (FED FL); Present: Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec; Concentration: 1,,,,
-80.85122651,25.10935566,4170,470,470,76,2,BIRD_470,B00076,B0007602,33,37,1,BIRD,raptor,Bald eagle,Haliaeetus leucocephalus,Threatened (FED FL),Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting, , , , ,Nesting,Nesting,Bald eagle; Status: Threatened (FED FL); Present: Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec; Concentration: 1,,,,
-80.83197111,25.1181878,4171,470,470,76,2,BIRD_470,B00076,B0007602,33,37,1,BIRD,raptor,Bald eagle,Haliaeetus leucocephalus,Threatened (FED FL),Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting, , , , ,Nesting,Nesting,Bald eagle; Status: Threatened (FED FL); Present: Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec; Concentration: 1,,,,
-80.8102726,25.11203922,4172,470,470,76,2,BIRD_470,B00076,B0007602,33,37,1,BIRD,raptor,Bald eagle,Haliaeetus leucocephalus,Threatened (FED FL),Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting, , , , ,Nesting,Nesting,Bald eagle; Status: Threatened (FED FL); Present: Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec; Concentration: 1,,,,
-80.37619982,25.17695061,4173,489,489,77,2,BIRD_489,B00077,B0007702,69,37,1,BIRD,raptor,Osprey,Pandion haliaetus, ,Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Nesting,Osprey; Status:  ; Present: Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec; Concentration: 1,,,,
-81.01828887,25.03926083,4174,491,491,116,2,BIRD_491,B00116,B0011602,69,37,HIGH,BIRD,wading,Roseate spoonbill,Ajaia ajaja, ,Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec, , , , , , , , , , ,Nesting,Nesting,Roseate spoonbill; Status:  ; Present: Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec; Concentration: HIGH,,,,
-81.01760542,25.03702131,4175,491,491,116,2,BIRD_491,B00116,B0011602,69,37,HIGH,BIRD,wading,Roseate spoonbill,Ajaia ajaja, ,Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec, , , , , , , , , , ,Nesting,Nesting,Roseate spoonbill; Status:  ; Present: Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec; Concentration: HIGH,,,,
-80.61444772,25.00373801,4176,491,491,116,2,BIRD_491,B00116,B0011602,69,37,HIGH,BIRD,wading,Roseate spoonbill,Ajaia ajaja, ,Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec, , , , , , , , , , ,Nesting,Nesting,Roseate spoonbill; Status:  ; Present: Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec; Concentration: HIGH,,,,
-80.60960396,25.00043766,4177,491,491,116,2,BIRD_491,B00116,B0011602,69,37,HIGH,BIRD,wading,Roseate spoonbill,Ajaia ajaja, ,Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec, , , , , , , , , , ,Nesting,Nesting,Roseate spoonbill; Status:  ; Present: Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec; Concentration: HIGH,,,,
-80.58839646,25.05729106,4178,491,491,116,2,BIRD_491,B00116,B0011602,69,37,HIGH,BIRD,wading,Roseate spoonbill,Ajaia ajaja, ,Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec, , , , , , , , , , ,Nesting,Nesting,Roseate spoonbill; Status:  ; Present: Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec; Concentration: HIGH,,,,
